"data type","question","answer"
"boolean","How do you check if a variable is of type bool?","You can check if a variable is of type bool using isinstance(variable, bool)."
"boolean","What are the boolean values?","The boolean values in Python are True and False."
"boolean","What does the bool() function do?","Converts a value to its boolean equivalent."
"boolean","What is the output of True + False?","The result of True + False is 1 because True is equivalent to 1 and False to 0."
"boolean","What numeric value represents False when using the bool() function?","When using the bool() function, the numeric value representing False is 0."
"boolean","What value (or values) represent True when using the bool() function?","When using the bool() function, any non-zero number or non-empty string/list is True."
"deque","What does append(x) when using a deque?","append(x): Adds x to the right end of the deque."
"deque","What does appendleft(x) when using a deque?","appendleft(x): Adds x to the left end of the deque."
"deque","What does extend(iterable) when using a deque?","extend(iterable): Extends the deque by appending elements from an iterable."
"deque","What does extendleft(iterable) when using a deque?","extendleft(iterable): Extends the deque by appending elements from an iterable to the left end (the elements are added in reverse order)."
"deque","What does pop() when using a deque?","pop(): Removes and returns an element from the right end of the deque."
"deque","What does popleft() when using a deque?","popleft(): Removes and returns an element from the left end of the deque."
"deque","What does rotate(n) when using a deque?","rotate(n): Rotates the deque n steps to the right (positive n) or to the left (negative n)."
"deque","What is a `deque`?","A `deque` is a double-ended queue from the `collections` module, optimized for appending and popping from both ends."
"deque","What is a deque?","data structure from the collections module that allows fast appends and pops from both ends"
"deque","When do you use a deque?","When you need to efficiently add or remove elements from both ends (like implementing a queue or stack)"
"deque","When to Use deque?","If you need a queue that supports both FIFO (First-In-First-Out) and LIFO (Last-In-First-Out) operations efficiently or 
when you need a sliding window over a sequence of data. Deques are often used in algorithms like breadth-first search (BFS) where you need to access and process elements from both ends."
"dictionary","Can a Python list contain a dictionary as an element?","Use `chr()`: `chr(65)` returns `'A'`."
"dictionary","Can dictionaries store mutable objects as values?","Yes, dictionaries can store mutable objects like lists or sets as values."
"dictionary","Can dictionarieshave multiple keys with the same value?","Dictionaries cannot have multiple keys with the same name; each key must be unique."
"dictionary","Can dictionary keys be mutable types like lists?","No, keys must be immutable types like strings, integers, or tuples."
"dictionary","Can you slice a dictionary?","No, dictionaries do not support slicing."
